Sample_Id,Gene,Rule_Id,Final_interpretation,IsPassedRule
BRA026,OXA-30,117,blaOXA-30-like,1
BRA026,OXA-48,,,
BRA026,SHV,,,
BRA026,TEM,,,
BRA026,VEB,,,
BRA026,VIM,,,
BRA026,aac(3)-II,,,
BRA026,aacA27,,,
BRA026,aacA4,,,
BRA026,aadB,,,
BRA026,armA,,,
BRA026,blaACT/blaMIR,,,
BRA026,blaCMY-2-like,,,
BRA026,blaCTX-M,80,G1-240G,1
BRA026,fosA3,,,
BRA026,rmtB,,,
BRA026,rmtC,,,
BRA026,rmtF,,,
BRA027,DHA,,,
BRA027,GES,,,
BRA027,IMP,,,
BRA027,KPC,,,
BRA027,NDM,,,
BRA027,OXA-10,,,
BRA027,OXA-30,,,
BRA027,OXA-48,,,
BRA027,SHV,,,
BRA027,TEM,163,blaTEM_2neg,1
BRA027,VEB,,,
BRA027,VIM,,,
BRA027,aac(3)-II,,,
BRA027,aacA27,,,
BRA027,aacA4,,,
BRA027,aadB,,,
BRA027,armA,,,
BRA027,blaACT/blaMIR,,,
BRA027,blaCMY-2-like,,,
BRA027,blaCTX-M,,,
BRA027,fosA3,,,
BRA027,rmtB,,,
BRA027,rmtC,,,
BRA027,rmtF,,,
BRA028,DHA,,,
BRA028,GES,,,
BRA028,IMP,,,
BRA028,KPC,,,
BRA028,NDM,,,
BRA028,OXA-10,,,
BRA028,OXA-30,,,
BRA028,OXA-48,,,
BRA028,SHV,,,
BRA028,TEM,157,blaTEM-1-like,1
BRA028,VEB,,,
BRA028,VIM,,,
BRA028,aac(3)-II,,,
BRA028,aacA27,,,
BRA028,aacA4,,,
BRA028,aadB,,,
BRA028,armA,,,
BRA028,blaACT/blaMIR,,,
BRA028,blaCMY-2-like,57,blaCMY-2-like,1
BRA028,blaCTX-M,,,
BRA028,fosA3,,,
BRA028,rmtB,,,
BRA028,rmtC,,,
BRA028,rmtF,,,
BRA029,DHA,,,
BRA029,GES,,,
BRA029,IMP,,,
BRA029,KPC,,,
BRA029,NDM,,,
BRA029,OXA-10,,,
BRA029,OXA-30,117,blaOXA-30-like,1
BRA029,OXA-48,,,
BRA029,SHV,,,
BRA029,TEM,,,
BRA029,VEB,,,
BRA029,VIM,,,
BRA029,aac(3)-II,,,
BRA029,aacA27,,,
BRA029,aacA4,,,
BRA029,aadB,,,
BRA029,armA,,,
BRA029,blaACT/blaMIR,,,
BRA029,blaCMY-2-like,,,
BRA029,blaCTX-M,80,G1-240G,1
BRA029,fosA3,,,
BRA029,rmtB,,,
BRA029,rmtC,,,
BRA029,rmtF,,,
BRA030,DHA,,,
BRA030,GES,,,
BRA030,IMP,,,
BRA030,KPC,,,
BRA030,NDM,,,
BRA030,OXA-10,,,
BRA030,OXA-30,,,
BRA030,OXA-48,,,
BRA030,SHV,,,
BRA030,TEM,157,blaTEM-1-like,1
BRA030,VEB,,,
BRA030,VIM,,,
